locale|en_HK
SYSTEM_HUD_PROSPECTOR|Eagwe Pwospectow
SYSTEM_HUD_PROSPECTOR_METRIC|Eagwe Pwospectow (metwic mod)
SYSTEM_HUD_PROSPECTOR_BALD|Bawd Eagwe Wacing HUD
SYSTEM_CLAIM|B8 Cwaim Beacon
SYSTEM_SALVAGE_ARM|AW-1500 Manyipuwatow
SYSTEM_ACTEMD14|AEMD-14 mass dwivew
SYSTEM_ACL200P|CW-200AP puwse minying wasew
SYSTEM_SCOOP|NT Minying Companyion
SYSTEM_REACTOR_EIME|StawCAT Stewwawatow
SYSTEM_MAIN_ENGINE_EIZAP|Z-Axiaw Pinch fusion towch
SYSTEM_HUD_EIME|Eon Intewstewwaw Modew E
SYSTEM_HUD_HAL|HAW9000
SYSTEM_REACTOR_COTHON|Cothon-212 nyucweaw weactow
SYSTEM_HUNK|Extewnyaw Impact Absowbew
SYSTEM_SYNCHRO|SPC Gungnyiw
SYSTEM_FUEL_15000|Showt-wange pwopewwant tank
SYSTEM_OE600|Obonto 600 on-boawd computew
SYSTEM_EXMONO|THI Monyocawgo Containyew
SYSTEM_REACTOR_AT225|THI-K225 nyucweaw weactow
SYSTEM_HUD_AT225|AT-K225
SYSTEM_PDT|NDPT-4205 Point Defence Tuwwet
SYSTEM_AMMO_20000|Fwigate-cwass pwojectiwe magazinye
SYSTEM_AMMO_50000|Destwoyew-cwass pwojectiwe magazinye
SYSTEM_DND_20000|Hawvestew-cwass nyanyodwonye stowage
SYSTEM_DND_50000|Station-cwass nyanyodwonye stowage
SYSTEM_FUEL_500000|Fweightew pwopewwant tank awway
SYSTEM_HUD_OCP209|OCP-209
SYSTEM_REACTOR_OCP209|OCP-209 nyucweaw weactow
SYSTEM_IROH|Tetsuo HMX-2000I
SYSTEM_LIDAR_RADAR|MWF wong-wave WADAW
SYSTEM_LIDAR_DOPPLER|IWW-360 Infwawed WIDAW
SYSTEM_LIDAR_DOPPLER_CONE|IWW-30-BF Beamfowmed Infwawed WIDAW
SYSTEM_LIDAR_DOPPLER_HIRES|Wunyasimi High-Wesowution WIDAW
SYSTEM_LIDAR_OPA|CW-144PWA Phased WIDAW Awway
SYSTEM_CARGO_BAY|Cawgo Bay
SYSTEM_HUD_KITSUNE|ND-WIS Kitsunye
SYSTEM_REACTOR_KITSUNE|ND-K12 Wight Nyucweaw Weactow
SYSTEM_CARGO_MPUDRY|Antonyoff Owe Puwifiew
SYSTEM_THRUSTER_MADTX4|MAD Wuciowe 1.2 thwustew
SYSTEM_MAIN_ENGINE_CHEVAL|MAD Chevaw 5.0 enginye
SYSTEM_HUD_CERF|MAD Cewnyunnyos II
